LSOA code,Rank,Country
W01000001,885,Wales
W01000002,1324,Wales
W01000003,550,Wales
W01000004,1100,Wales
W01000005,1065,Wales
W01000006,1116,Wales
W01000007,1036,Wales
W01000008,1820,Wales
W01000009,819,Wales
W01000010,1624,Wales
W01000011,1377,Wales
W01000012,1494,Wales
W01000013,1777,Wales
W01000014,1194,Wales
W01000015,1704,Wales
W01000016,168,Wales
W01000017,486,Wales
W01000018,1145,Wales
W01000019,1233,Wales
W01000020,1424,Wales
W01000021,1044,Wales
W01000022,857,Wales
W01000023,985,Wales
W01000024,1050,Wales
W01000025,1300,Wales
W01000026,946,Wales
W01000027,954,Wales
W01000028,727,Wales
W01000029,366,Wales
W01000030,353,Wales
W01000031,864,Wales
W01000032,1053,Wales
W01000033,224,Wales
W01000034,1196,Wales
W01000035,1087,Wales
W01000036,316,Wales
W01000037,974,Wales
W01000038,764,Wales
W01000039,1409,Wales
W01000040,1325,Wales
W01000041,308,Wales
W01000042,1442,Wales
W01000043,915,Wales
W01000044,1716,Wales
W01000047,1234,Wales
W01000048,907,Wales
W01000049,1037,Wales
W01000050,855,Wales
W01000051,1167,Wales
W01000052,1606,Wales
W01000053,1320,Wales
W01000054,1394,Wales
W01000056,558,Wales
W01000057,889,Wales
W01000059,357,Wales
W01000060,768,Wales
W01000061,1615,Wales
W01000062,875,Wales
W01000063,663,Wales
W01000064,1016,Wales
W01000065,679,Wales
W01000066,904,Wales
W01000067,1222,Wales
W01000068,1224,Wales
W01000069,1339,Wales
W01000070,1177,Wales
W01000071,957,Wales
W01000072,1502,Wales
W01000073,1375,Wales
W01000074,1254,Wales
W01000075,753,Wales
W01000076,1132,Wales
W01000077,938,Wales
W01000078,800,Wales
W01000079,1018,Wales
W01000080,1355,Wales
W01000081,1260,Wales
W01000082,991,Wales
W01000083,1162,Wales
W01000084,1378,Wales
W01000085,725,Wales
W01000086,748,Wales
W01000087,1634,Wales
W01000088,1046,Wales
W01000089,1102,Wales
W01000090,300,Wales
W01000091,167,Wales
W01000092,1566,Wales
W01000093,1454,Wales
W01000094,1574,Wales
W01000095,1481,Wales
W01000096,900,Wales
W01000097,901,Wales
W01000098,155,Wales
W01000099,1349,Wales
W01000100,1395,Wales
W01000101,1338,Wales
W01000102,1633,Wales
W01000103,1109,Wales
W01000104,1090,Wales
W01000105,1141,Wales
W01000106,1661,Wales
W01000107,1082,Wales
W01000108,1078,Wales
W01000109,1042,Wales
W01000110,1204,Wales
W01000111,650,Wales
W01000112,569,Wales
W01000113,862,Wales
W01000114,1119,Wales
W01000115,1187,Wales
W01000116,1410,Wales
W01000117,747,Wales
W01000118,1006,Wales
W01000119,1564,Wales
W01000121,1165,Wales
W01000122,1126,Wales
W01000123,902,Wales
W01000124,1251,Wales
W01000125,1293,Wales
W01000126,1466,Wales
W01000127,190,Wales
W01000128,1159,Wales
W01000129,711,Wales
W01000130,1688,Wales
W01000131,1632,Wales
W01000132,726,Wales
W01000133,1694,Wales
W01000134,1000,Wales
W01000135,1856,Wales
W01000136,1610,Wales
W01000137,1178,Wales
W01000138,616,Wales
W01000139,1550,Wales
W01000140,647,Wales
W01000141,1598,Wales
W01000142,1739,Wales
W01000143,477,Wales
W01000144,20,Wales
W01000145,792,Wales
W01000146,623,Wales
W01000147,1107,Wales
W01000148,1267,Wales
W01000149,296,Wales
W01000150,781,Wales
W01000151,540,Wales
W01000152,681,Wales
W01000153,1277,Wales
W01000154,1742,Wales
W01000155,1596,Wales
W01000156,1482,Wales
W01000157,610,Wales
W01000158,1506,Wales
W01000159,968,Wales
W01000162,1001,Wales
W01000163,193,Wales
W01000164,1328,Wales
W01000165,1830,Wales
W01000166,1084,Wales
W01000167,615,Wales
W01000168,590,Wales
W01000169,521,Wales
W01000170,1408,Wales
W01000171,969,Wales
W01000172,516,Wales
W01000173,1599,Wales
W01000174,1859,Wales
W01000175,1861,Wales
W01000176,759,Wales
W01000177,1197,Wales
W01000178,313,Wales
W01000179,1584,Wales
W01000180,1769,Wales
W01000181,1841,Wales
W01000182,202,Wales
W01000183,1310,Wales
W01000184,439,Wales
W01000185,1195,Wales
W01000186,364,Wales
W01000187,78,Wales
W01000188,1457,Wales
W01000189,914,Wales
W01000190,1168,Wales
W01000191,1002,Wales
W01000192,953,Wales
W01000193,700,Wales
W01000194,602,Wales
W01000195,1870,Wales
W01000196,1730,Wales
W01000197,1581,Wales
W01000198,170,Wales
W01000199,519,Wales
W01000200,1471,Wales
W01000201,779,Wales
W01000202,1334,Wales
W01000203,1508,Wales
W01000204,1607,Wales
W01000205,1192,Wales
W01000206,1253,Wales
